nombre,rut,edad,sexo,id_instalacion
Catalina Luna,46251263-5,90,mujer,14
Sergio Galaz,92310665-0,47,hombre,29
Catalina Patiño,77837095-6,55,mujer,130
Nicolas Henriquez,66922079-0,70,mujer,63
Magdalena Santibañez,79464991-k,74,hombre,194
Lisandro Pinto,22997103-4,42,mujer,32
Leonardo Bucarei,61890115-7,42,hombre,127
Sofia Peña,45347413-5,29,hombre,189
Valentina Gutierrez,54864080-6,75,hombre,189
Simoney Mora,86447590-6,26,hombre,198
Martin Bustos,45355149-0,54,hombre,196
Diego Caniullan,19942007-0,89,hombre,192
Yanara Carrasco,79263691-8,39,mujer,52
Karla Castillo,32165632-3,38,mujer,170
Yaimara Cisternas,66760004-9,83,hombre,73
Pamela Figueroa,49326776-0,91,mujer,10
Aritza Flores,97804380-1,67,mujer,171
Giordano Flores,83399209-0,20,hombre,143
Danae Gamboa,86260284-6,95,mujer,169
Diego Guajardo,19209075-k,74,mujer,155
Bayron Guzman,31653150-4,84,mujer,27
Gabriela Jimenez,64100872-9,26,hombre,55
Orlando Moraga,72629258-2,56,hombre,57
Matias Moreno,17263415-k,13,mujer,95
Matias Painequeo,18208603-7,85,mujer,191
Sayenn Pavez,90414316-2,26,mujer,146
Gonzalo Pino,16045471-7,88,mujer,12
Benjamin Quilacon,28792266-3,37,hombre,137
Millaray Ramos,68353685-7,56,hombre,212
Aaron Roa,99428020-1,83,mujer,187
Martin Rojas,24840265-2,66,hombre,180
Yael Salcedo,79850677-3,81,hombre,75
Caceres San,95741388-9,57,mujer,26
Lucas Santibañez,77210598-3,63,hombre,40
Luis Torres,96187015-1,57,mujer,155
Zithlali Ulloa,68120110-6,28,hombre,5
Javiera Vasquez,56619171-7,66,hombre,129
Jorge Zumelzu,51616764-5,15,mujer,194
Alan Aceiton,60916764-5,97,hombre,102
Paz Aguayo,81252987-0,41,mujer,76
Flores Al,59192155-k,67,hombre,125
Lucas Araya,41391265-2,81,hombre,57
Daniela Arriagada,76041278-3,75,mujer,182
Benjamin Barria,78158392-8,43,mujer,49
Franco Benavides,49995619-3,97,mujer,83
Genesis Cardenas,37156185-4,59,mujer,205
Sergio Cardenas,85410626-0,24,hombre,53
Antonio Carrasco,10116173-0,72,hombre,123
Ian Carrera,88757035-3,30,mujer,182
Barbara Carvajal,68583239-9,42,hombre,137
Ignacio Castillo,35492826-4,59,hombre,126
Alondra Chamorro,86683089-4,91,mujer,201
Francisca Colima,28320055-8,67,hombre,128
Constanza Conejeros,86043030-4,87,mujer,82
Ivanna Contreras,27604578-4,44,mujer,121
Martin Flores,35412165-4,78,mujer,97
Constanza Gomez,80869010-1,40,hombre,94
Franco Gomez,86555166-5,34,mujer,185
Javiera Grandon,61036645-7,10,hombre,147
Javier Hurtado,40373818-2,84,mujer,37
Lucas Jara,24149278-8,84,mujer,178
Benjamin Jeria,43161018-3,95,mujer,155
Felipe Jilberto,67938721-9,16,hombre,118
Constanza Jorquera,18768050-6,32,hombre,6
Javiera Lizama,49881324-0,54,hombre,149
Catalina Lopez,36578275-k,28,mujer,59
Isidora Loyola,92505908-0,83,hombre,186
Bruno Mardones,16483997-4,36,hombre,178
Antonella Molina,91957885-8,53,mujer,55
Escarlet Morales,85930746-9,31,hombre,126
Javier Moya,43630977-5,30,mujer,88
Xavier Oyarzun,70876733-6,62,hombre,36
Silvio Peralta,36731956-9,81,mujer,82
Yohao Portales,42127645-5,70,hombre,63
Cesia Ramos,38158176-4,85,mujer,125
Francisca Reyes,48292072-1,33,mujer,67
Benjamin Rodriguez,86434438-0,30,mujer,208
Juan Sanchez,62974576-9,86,mujer,208
Constanza Sepulveda,71881591-6,53,hombre,52
Lucas Vasquez,16670974-1,74,hombre,98
Matias Vega,19027799-2,52,hombre,143
Isidora Villarroel,36669949-k,98,mujer,189
Victoria Adasme,58179139-9,75,hombre,70
Alonso Agurto,80146994-9,41,mujer,182
Carlos Antifil,34902561-2,99,hombre,195
Maria Aranda,27811535-6,34,mujer,106
Ignacio Arias,37653211-9,17,hombre,74
Rocio Bernales,78734770-3,95,hombre,77
Amaro Bravo,82260254-1,70,mujer,38
Sebastian Bustos,92253121-8,34,hombre,191
Jacob Cartes,53325503-5,98,hombre,202
Martin Celis,27423756-2,84,hombre,120
Noelia Cid,56840142-5,21,hombre,121
Hugo Cordova,99233768-0,37,hombre,32
Rocio Cuello,95541819-0,30,hombre,6
Monserrat Echeverria,61773216-5,28,hombre,151
Fernando Escobar,13635178-8,14,hombre,75
Emily Farias,93310611-k,40,hombre,195
Isidora Fernandez,85073231-0,89,hombre,194
Antonella Garrido,41601315-2,49,mujer,123
Conzuelo Gonzales,98121429-3,82,hombre,142
Josefa Huaiquil,80511365-0,53,mujer,165
Millaray Jimenez,62815723-5,88,hombre,212
Alondra Llanquiman,33734821-1,30,hombre,192
Fernando Lopez,25806104-7,76,hombre,213
Valeria Martinez,23514054-3,74,mujer,115
Alexia Matus,72309503-4,18,mujer,74
Martin Neculman,48908396-5,51,mujer,157
Isidora Orellana,71198104-7,90,hombre,129
Luis Pacheco,76534733-5,37,hombre,158
Carlos Pinto,73222374-6,31,mujer,38
Diego Plaza,28597225-6,25,mujer,161
Francisca Roblero,32700742-4,97,mujer,76
Padme Rodriguez,28118803-8,47,hombre,131
Benjamin Saavedra,34572846-5,34,mujer,12
Millaray Salazar,42723522-k,65,mujer,11
Deyanira Santander,15591154-9,73,mujer,142
Yasmin Suarez,16636734-4,73,mujer,130
Paloma Sucarrat,63795324-9,87,hombre,86
Kitzy Vega,65538426-k,53,mujer,198
Enygger Videla,62942419-9,45,hombre,151
Simona Vilches,33236616-5,98,mujer,182
Cristobal Yanka,31679088-7,44,hombre,186
Abigail Alarcon,82581279-2,48,mujer,99
Pablo Salazar,35069575-3,52,hombre,211
Antonio Salinas,99927220-7,83,hombre,63
Leandro Aravena,70106627-8,34,hombre,9
Anais Oyarzon,43953571-7,77,mujer,66
Victoria Toloza,51194123-7,73,mujer,139
Dominique Contreras,75490842-4,71,hombre,55
Alessandro Pizarro,64336012-8,25,hombre,209
Andrea Aguilar,54023774-3,11,mujer,101
Yadhira Cifuentes,45008209-0,97,mujer,180
Millaray Meza,40538537-6,89,mujer,11
Kiara Moya,12187269-2,46,mujer,145
Celine Yañez,27952560-4,74,hombre,115
Andrea Sanhueza,55823148-3,67,mujer,35
Danitza Castro,67978268-1,77,mujer,136
Shantal Muñoz,99070181-4,75,mujer,190
Isidora Bravo,50042631-4,16,mujer,112
Matias Pichulpil,99466469-7,23,hombre,82
Kris Peña,36664523-3,12,mujer,99
Rayan Contreras,44812887-3,70,mujer,126
Yaritza Garcia,34643031-1,23,hombre,102
Ivan Sarmiento,21759577-0,47,hombre,19
Alexandra Carmona,32992512-9,86,mujer,24
Mairin Romero,85553386-3,26,hombre,85
Salome Orellana,45510769-5,83,hombre,14
Constanza Loyola,45740927-3,19,mujer,99
Alejandra Olguin,98849412-7,42,hombre,197
Alonso Carrasco,42300579-3,84,hombre,74
Cristobal Vallejos,84921010-6,90,mujer,86
Macarena Muñoz,51248373-9,54,hombre,149
Andres Diaz,38628283-8,49,mujer,202
Esteban Guzman,78662700-1,95,mujer,86
Andrea Alburquenque,80703512-6,24,hombre,178
Sofia Flores,37142311-7,83,hombre,168
Katalina Gonzales,97036167-7,17,mujer,1
Jesus Gonzales,53967694-6,72,hombre,130
Antonia Olivares,23407008-8,51,hombre,1
Isidora Pacheco,76494450-k,15,hombre,127
Francisca Cayupan,56229978-5,43,hombre,123
Emiliano Figueroa,40269415-7,57,mujer,118
Alonso Dumont,80592689-9,18,hombre,36
Amaro Mondaca,52576933-k,87,mujer,109
Absalon Figueroa,71612139-9,32,mujer,150
Antonia Ortega,23632306-4,94,hombre,42
Josefa Alarcon,16413527-6,67,mujer,58
Alonso Farias,77489819-0,98,mujer,212
Matias Rodriguez,85301240-8,92,mujer,80
Alonso Toro,53721649-2,59,mujer,67
Andres Vergara,12655924-0,37,hombre,205
Noemi Castro,79154026-7,15,hombre,90
Adriana Jimenez,24115633-8,72,mujer,153
Miguel Martinez,34917249-6,47,hombre,156
Benjamin Cayul,85034590-2,94,hombre,126
Ignacio Mardones,19680912-0,69,hombre,151
Marcela Vargas,40455577-4,27,mujer,102
Andres Painenao,81401624-2,64,mujer,113
Gustavo Mena,40978316-3,95,mujer,203
Anibal Contreras,77189827-0,19,hombre,146
Javiera Vigouroux,13093741-1,38,hombre,14
Arturo Calabrano,26123513-7,82,hombre,124
Ignacio Huenuanca,12874915-2,28,hombre,215
Josue Donoso,15623590-3,32,mujer,84
Jesus Navarrete,45981588-0,44,hombre,18
Aaron Cares,82003178-4,86,mujer,51
Paz Muñoz,29415476-0,75,hombre,191
Antonia Elguezabal,38631846-8,88,mujer,153
Kathalina San,61242043-2,45,mujer,76
Ignacio Delgado,28954972-2,80,hombre,129
Andres Abarca,88094734-6,14,hombre,5
Alejandro Sarmiento,69163174-5,55,mujer,59
Alexander Peña,53042462-6,64,mujer,25
Samanta Marinao,81330568-2,60,hombre,125
Paola Quezada,86679007-8,19,hombre,115
Ignacio Barra,83896534-2,98,hombre,77
Ariel Iturra,91210142-8,44,mujer,128
Daniel Zuñiga,72570829-7,62,hombre,193
Catalina Jara,58044372-9,88,mujer,49
Venecia Campos,40640800-0,71,hombre,27
Fernanda Repol,73324033-4,84,mujer,88
Ignacia Galvez,80549244-9,89,mujer,175
Scarlett Pezoa,40070443-0,13,mujer,120
Jessica Reyes,68377701-3,59,hombre,140
De Rave,20228556-2,15,hombre,168
Daniel Blanco,16264932-9,36,mujer,3
Valentina Cancino,80580088-7,76,hombre,125
Claudio Carreño,84167281-k,39,mujer,206
Valentina Castillo,93044599-1,16,mujer,93
Gustavo Castro,47922722-5,22,mujer,83
Tamara Dealecio,41183684-3,50,mujer,144
Carla Farias,94947578-6,57,hombre,115
Fernanda Gajardo,33890329-4,59,mujer,175
Paula Gajardo,91085975-7,17,hombre,192
Isidora Garabito,96562711-1,95,mujer,120
Ignacia Gomez,52392092-8,79,mujer,189
Catalina Gonzalez,91938760-2,94,hombre,182
Daniela Gutierrez,98518861-0,90,hombre,4
Catalina Huentelaf,72275204-k,19,mujer,187
Bryan Jorquera,70388205-6,79,hombre,144
Diego Lopez,80924311-7,67,mujer,135
Matias Maldonado,73031326-8,79,hombre,63
Catalina Miranda,66970190-k,36,hombre,51
Catari Monsalves,81641085-1,30,mujer,129
Catalina Montero,17371278-2,92,mujer,82
Fernanda Montero,72447098-k,35,mujer,206
Matias Muñoz,59161375-8,24,hombre,51
Javiera Peralta,14106853-9,30,mujer,73
Ariana Perez,94506083-2,57,hombre,195
Joaquin Pinto,24878659-0,45,hombre,90
Nelson Quezada,23937155-8,69,mujer,122
Ignacio Quiroz,79407634-0,68,hombre,123
Giancarlo Roblero,27083103-6,94,hombre,142
Barbara Sanchez,77757931-2,35,hombre,202
Paolo Silva,21290952-1,24,hombre,35
Emilio Soto,79695896-0,89,hombre,149
Yacyara Soza,89512502-4,22,hombre,138
Jacob Torres,31256887-k,36,mujer,210
Catalina Urquiza,46067685-1,83,mujer,115
Alejandra Valdes,58143457-k,85,mujer,168
Catalina Valencia,69719019-8,57,mujer,174
Catalina Vasquez,81207716-3,49,hombre,155
Juan Veas,92394961-5,22,hombre,100
Yael Vera,99149710-2,91,hombre,123
Karla Villablanca,92851961-9,63,hombre,195
